ainsi	207.000000	0.800000
que	208.000000	0.800000
j'ai	209.000000	0.800000
abandonné,	210.000000	0.800000
à	211.000000	0.800000
l'âge	212.000000	0.800000
de	213.000000	0.800000
six	214.000000	0.800000
ans,	215.000000	0.800000
une	216.000000	0.800000
magnifique	217.000000	0.800000
carrière	218.000000	0.800000
de	219.000000	0.800000
peintre.	220.000000	0.800000
j'avais	221.000000	0.800000
été	222.000000	0.800000
découragé	223.000000	0.800000
par	224.000000	0.800000
l'insuccès	225.000000	0.800000
de	226.000000	0.800000
mon	227.000000	0.800000
dessin	228.000000	0.800000
numéro	229.000000	0.800000
1	230.000000	0.800000
et	231.000000	0.800000
de	232.000000	0.800000
mon	233.000000	0.800000
dessin	234.000000	0.800000
numéro	235.000000	0.800000
2.	236.000000	0.800000
les	237.000000	0.800000
grandes	238.000000	0.800000
personnes	239.000000	0.800000
ne	240.000000	0.800000
comprennent	241.000000	0.800000
jamais	242.000000	0.800000
rien	243.000000	0.800000
toutes	244.000000	0.800000
seules,	245.000000	0.800000
et	246.000000	0.800000
c'est	247.000000	0.800000
fatigant,	248.000000	0.800000
pour	249.000000	0.800000
les	250.000000	0.800000
enfants,	251.000000	0.800000
de	252.000000	0.800000
toujours	253.000000	0.800000
et	254.000000	0.800000
toujours	255.000000	0.800000
leur	256.000000	0.800000
donner	257.000000	0.800000
des	258.000000	0.800000
explications...	259.000000	0.800000
j'ai	260.000000	0.800000
donc	261.000000	0.800000
dû	262.000000	0.800000
choisir	263.000000	0.800000
un	264.000000	0.800000
autre	265.000000	0.800000
métier	266.000000	0.800000
et	267.000000	0.800000
j'ai	268.000000	0.800000
appris	269.000000	0.800000
à	270.000000	0.800000
piloter	271.000000	0.800000
des	272.000000	0.800000
avions.	273.000000	0.800000
j'ai	274.000000	0.800000
volé	275.000000	0.800000
un	276.000000	0.800000
peu	277.000000	0.800000
partout	278.000000	0.800000
dans	279.000000	0.800000
le	280.000000	0.800000
monde.	281.000000	0.800000
et	282.000000	0.800000
la	283.000000	0.800000
géographie,	284.000000	0.800000
c'est	285.000000	0.800000
exact,	286.000000	0.800000
m'a	287.000000	0.800000
beaucoup	288.000000	0.800000
servi.	289.000000	0.800000
je	290.000000	0.800000
savais	291.000000	0.800000
reconnaître,	292.000000	0.800000
du	293.000000	0.800000
premier	294.000000	0.800000
coup	295.000000	0.800000
d'oeil,	296.000000	0.800000
la	297.000000	0.800000
chine	298.000000	0.800000
de	299.000000	0.800000
l'arizona.	300.000000	0.800000
c'est	301.000000	0.800000
très	302.000000	0.800000
utile,	303.000000	0.800000
si	304.000000	0.800000
l'on	305.000000	0.800000
s'est	306.000000	0.800000
égaré	307.000000	0.800000
pendant	308.000000	0.800000
la	309.000000	0.800000
nuit.	310.000000	0.800000
j'ai	311.000000	0.800000
ainsi	312.000000	0.800000
eu,	313.000000	0.800000
au	314.000000	0.800000
cours	315.000000	0.800000
de	316.000000	0.800000
ma	317.000000	0.800000
vie,	318.000000	0.800000
des	319.000000	0.800000
tas	320.000000	0.800000
de	321.000000	0.800000
contacts	322.000000	0.800000
avec	323.000000	0.800000
des	324.000000	0.800000
tas	325.000000	0.800000
de	326.000000	0.800000
gens	327.000000	0.800000
sérieux.	328.000000	0.800000
j'ai	329.000000	0.800000
beaucoup	330.000000	0.800000
vécu	331.000000	0.800000
chez	332.000000	0.800000
les	333.000000	0.800000
grandes	334.000000	0.800000
personnes.	335.000000	0.800000
je	336.000000	0.800000
les	337.000000	0.800000
ai	338.000000	0.800000
vues	339.000000	0.800000
de	340.000000	0.800000
très	341.000000	0.800000
près.	342.000000	0.800000
ça	343.000000	0.800000
n'a	344.000000	0.800000
pas	345.000000	0.800000
trop	346.000000	0.800000
amélioré	347.000000	0.800000
mon	348.000000	0.800000
opinion.	349.000000	0.800000
quand	350.000000	0.800000
j'en	351.000000	0.800000
rencontrais	352.000000	0.800000
une	353.000000	0.800000
qui	354.000000	0.800000
me	355.000000	0.800000
paraissait	356.000000	0.800000
un	357.000000	0.800000
peu	358.000000	0.800000
lucide,	359.000000	0.800000
je	360.000000	0.800000
faisais	361.000000	0.800000
l'expérience	362.000000	0.800000
sur	363.000000	0.800000
elle	364.000000	0.800000
de	365.000000	0.800000
mon	366.000000	0.800000
dessin	367.000000	0.800000
numéro	368.000000	0.800000
1	369.000000	0.800000
que	370.000000	0.800000
j'ai	371.000000	0.800000
toujours	372.000000	0.800000
conservé	373.000000	0.800000
je	374.000000	0.800000
voulais	375.000000	0.800000
savoir	376.000000	0.800000
si	377.000000	0.800000
elle	378.000000	0.800000
était	379.000000	0.800000
vraiment	380.000000	0.800000
compréhensive.	381.000000	0.800000
mais	382.000000	0.800000
toujours	383.000000	0.800000
elle	384.000000	0.800000
me	385.000000	0.800000
répondait	386.000000	0.800000
:	387.000000	0.800000
"c'est	388.000000	0.800000
un	389.000000	0.800000
chapeau."	390.000000	0.800000
alors	391.000000	0.800000
je	392.000000	0.800000
ne	393.000000	0.800000
lui	394.000000	0.800000
parlais	395.000000	0.800000
ni	396.000000	0.800000
de	397.000000	0.800000
serpents	398.000000	0.800000
boas,	399.000000	0.800000
ni	400.000000	0.800000
de	401.000000	0.800000
forêts	402.000000	0.800000
vierges,	403.000000	0.800000
ni	404.000000	0.800000
d'étoiles.	405.000000	0.800000
je	406.000000	0.800000
me	407.000000	0.800000
mettais	408.000000	0.800000
à	409.000000	0.800000
sa	410.000000	0.800000
portée.	411.000000	0.800000
je	412.000000	0.800000
lui	413.000000	0.800000
parlais	414.000000	0.800000
de	415.000000	0.800000
bridge,	416.000000	0.800000
de	417.000000	0.800000
golf,	418.000000	0.800000
de	419.000000	0.800000
politique	420.000000	0.800000
et	421.000000	0.800000
de	422.000000	0.800000
cravates.	423.000000	0.800000
et	424.000000	0.800000
la	425.000000	0.800000
grande	426.000000	0.800000
personne	427.000000	0.800000
était	428.000000	0.800000
bien	429.000000	0.800000
contente	430.000000	0.800000
de	431.000000	0.800000
connaître	432.000000	0.800000
un	433.000000	0.800000
homme	434.000000	0.800000
aussi	435.000000	0.800000
raisonnable...	436.000000	0.800000
j'ai	437.000000	0.800000
ainsi	438.000000	0.800000
vécu	439.000000	0.800000
seul,	440.000000	0.800000
sans	441.000000	0.800000
personne	442.000000	0.800000
avec	443.000000	0.800000
qui	444.000000	0.800000
parler	445.000000	0.800000
véritablement,	446.000000	0.800000
jusqu'à	447.000000	0.800000
une	448.000000	0.800000
panne	449.000000	0.800000
dans	450.000000	0.800000
le	451.000000	0.800000
désert	452.000000	0.800000
du	453.000000	0.800000
sahara,	454.000000	0.800000
il	455.000000	0.800000
y	456.000000	0.800000
a	457.000000	0.800000
six	458.000000	0.800000
ans.	459.000000	0.800000
quelque	460.000000	0.800000
chose	461.000000	0.800000
s'était	462.000000	0.800000
cassé	463.000000	0.800000
dans	464.000000	0.800000
mon	465.000000	0.800000
moteur.	466.000000	0.800000
et	467.000000	0.800000
comme	468.000000	0.800000
je	469.000000	0.800000
n'avais	470.000000	0.800000
avec	471.000000	0.800000
moi	472.000000	0.800000
ni	473.000000	0.800000
mécanicien,	474.000000	0.800000
ni	475.000000	0.800000
passagers,	476.000000	0.800000
je	477.000000	0.800000
me	478.000000	0.800000
préparai	479.000000	0.800000
à	480.000000	0.800000
essayer	481.000000	0.800000
de	482.000000	0.800000
réussir,	483.000000	0.800000
tout	484.000000	0.800000
seul,	485.000000	0.800000
une	486.000000	0.800000
réparation	487.000000	0.800000
difficile.	488.000000	0.800000
c'était	489.000000	0.800000
pour	490.000000	0.800000
moi	491.000000	0.800000
une	492.000000	0.800000
question	493.000000	0.800000
de	494.000000	0.800000
vie	495.000000	0.800000
ou	496.000000	0.800000
de	497.000000	0.800000
mort.	498.000000	0.800000
j'avais	499.000000	0.800000
à	500.000000	0.800000
peine	501.000000	0.800000
de	502.000000	0.800000
l'eau	503.000000	0.800000
à	504.000000	0.800000
boire	505.000000	0.800000
pour	506.000000	0.800000
huit	507.000000	0.800000
jours.	508.000000	0.800000
le	509.000000	0.800000
premier	510.000000	0.800000
soir	511.000000	0.800000
je	512.000000	0.800000
me	513.000000	0.800000
suis	514.000000	0.800000
donc	515.000000	0.800000
